movie_id,title,subtitle,year,rating,star_count,comment_count,comment,poster,user_avatar,user_name,rank,genre,overview
4122194,银魂剧场版：新译红樱篇,2010 / 日本 / 喜剧 动作 动画 古装 / 高松信司 / 杉田智和 阪口大助,2010,9.1,4.5,29524,低级而又乱七八糟的动画，这不是最好的褒奖么,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p612363092.jpg,https://img9.doubanio.com/icon/up2911396-15.jpg,铁皮刺猬,,喜剧,故事发生在日本的江户时代，一名神秘的男子出现在了武士桂小太郎（石田彰 配音）的面前，他手握妖刀“红樱”，要求试刀，这个夜晚之后，桂便下落不明。桂的宠物伊丽莎白（高松信司 配音）找到万事屋的神乐（钉宫理惠 配音）和新八（坂口大助 配音），委托他们寻找主人的下落。同时，银时（杉田智和）也受到委托，寻找四处作恶的红樱的下落。三人的线索汇聚到了一艘空中飞艇上，由于远离警察的管辖范围，飞艇里的恶势力一手遮天。在那里，银时遇见了曾经的战友现在的对手高杉晋助（子安武人 配音），高杉正带领着自己的鬼兵队企图毁灭江户。一面是穷凶极恶的恐怖分子，一边是暴虐嗜血的妖刀红樱，身受重伤的银时能够平安脱险拯救江户吗？  　　此次剧场版重制了《银魂》动画中的《红樱篇》，其中，在原作中未出场的真选组也将在故事中大显身手。
3141506,JOJO的奇妙冒险：幽灵之血,2007 / 日本 / 剧情 动作 动画 冒险 / 羽山淳一 / 小西克幸 绿川光,2007,9.1,4.5,3974,波纹比替身好看,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1033413514.jpg,https://img3.doubanio.com/icon/up48527957-32.jpg,任云迹,19.0,剧情,2007年2月17日公映，根据原作的第一部改编的剧场版动画。制作人员为第三部OVA的原班人马。由于过度改编，为了在短短1、2个小时内塞进如此多的内容导致部分角色神秘失踪：比如我们的解说员史比特瓦根先生。公映至今因票房收入惨淡而没有制作做成DVD等媒介，只有一个预告片和短短的16分钟流出画面（没有声音），是名符其实的“黑历史”。唯一的遗产是被称为DIO的角色曲的主题曲《Voodoo Kingdom》。  2023年，据传闻，本片确实有计划过发行DVD，但本片的所有材料和样片已被集英社完全回收，原因不明。
3804492,丝路花雨,1982 / 中国大陆 / 动作 音乐 歌舞 古装 / 颜学恕 / 贺燕云 柴怀民,1982,9.1,4.5,3022,计划经济下的艺术精品,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2903907534.jpg,https://img3.doubanio.com/icon/up1835877-92.jpg,🪐🍄🍁☃🌽🚗📱,,动作,唐代河西走廊大风将波斯商人伊努思的商队卷入风沙中，中国画工神笔张和女儿英娘及时救了他。告别后，英娘匪首窦虎所劫，被迫学艺，成为一个歌舞艺人。女儿的舞姿激发了神笔张的灵感，给出敦煌珍品《反弹琵琶伎乐天》，伊努思也为之惊叹。官吏来抢走英娘，父亲让伊努思带女儿逃到国外，市令将神笔张囚禁。可河西节度使看到珍品时下令释放神笔张。3年后，伊努思商队和英娘一起返国，神笔张发现有人要害商队，马上报信而受重伤，英娘发誓为父报仇，借跳舞之机直指仇人，节度使了解了情况，下令除奸人。  丝路花雨是甘肃敦煌艺术剧院取材于敦煌莫高窟壁画艺术，博采各地民间歌舞之长，创作的大型民族舞剧。《丝》剧是首创于1979年，被新闻媒介赞誉为“活的敦煌壁画，美的艺术享受”，“此舞只应天上有，人间难得看几回”，《丝》“为中国舞蹈剧开辟了新路”。 此后多年，此剧在全国各地久演不衰，所到之处盛况空前，期间还先后到中国香港等地区以及朝鲜、日本、意大利、泰国、法国、拉脱维亚等国家，至今已演出了1800多场，成为东方艺术的奇葩，并被作为20世纪中国舞蹈经典剧之作，载入中华民族艺术史册。
27124864,假面骑士艾克赛德 额外结局3 假面骑士幻梦对决假面骑士狂飙,2018 / 日本 / 剧情 动作 科幻 / 铃村展弘 / 岩永彻也 小野塚勇人,2018,9.1,4.5,1960,近乎完美的结局,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2520584131.jpg,https://img3.doubanio.com/icon/up156628042-27.jpg,无症状快乐患者,,剧情,《假面骑士艾克赛德 额外结局3 假面骑士幻梦对决假面骑士狂飙》是一部上映于 2018 年的精彩电影。暂时没有获取到详细的剧情简介。
5041026,赛文奥特曼 光荣与传说,1999 / 日本 / 剧情 动作 科幻 / 神澤信一 / 南条弘二 山崎胜之,1999,9.1,4.5,1960,你的内心，和你的外貌一样丑陋。,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2620177328.jpg,https://img1.doubanio.com/icon/up139015254-20.jpg,颍原真吾,,剧情,地球防衛軍的總指揮古橋參謀往宇宙進行友好計劃，在太空船內離奇被殺，而其他工作人員亦不幸遇害，外界對於這宗事件諸多揣測……  　　繼任的加持參謀態度囂張，不但聲稱古橋參謀是死於叛變，還揚言要解散超人警備隊……為了查明真相，超人警備隊的隊員四出奔波，尋找外星人殺人的證據，事情快要水落石出了，外星人竟借用了隊員風森的身體，要脅七星俠就範，為了拯救全人類，七星俠會否就此犧牲風森的性命來成全大局？從此，風森的命運將會如何被徹底改變？
3742360,让子弹飞,2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部 / 姜文 / 姜文 葛优,2010,9.0,4.5,1914396,要是姜文拍完这部电影就宣布退休，他会被封神。,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p1512562287.jpg,https://img1.doubanio.com/icon/up63688511-18.jpg,朝暮雪,36.0,剧情,故事发生在1920年北洋年间的南国。买官上任的县长马邦德（葛优 饰）携妻（刘嘉玲 饰）、师爷（冯小刚 饰）及随从在赴任途中，遭遇悍匪张麻子（姜文 饰）伏击。为保命，马邦德谎称自己是师爷，并怂恿张麻子冒充县长，前往油水丰厚的“鹅城”捞钱。  然而，鹅城实际被称霸五代、贩卖鸦片、勾结官府的恶霸黄四郎（周润发 饰）完全掌控。张麻子上任后，非但不与黄四郎同流合污，反而痛打其团练武教头（姜武 饰），并当众宣布追求“公平”。此举激化了双方矛盾。  黄四郎设计陷害，逼死了张麻子的义子小六（张默 饰）。丧子之痛让张麻子下定决心，要为小六报仇，并向黄四郎正式宣战。双方展开了一系列惊心动魄的智谋与武力较量：从“鸿门宴”上的试探，到绑架“黄四郎替身”索要赎金，再到分发银子与枪支试图发动群众。  张麻子最终发现，要战胜黄四郎，不能只靠自己和兄弟的枪，关键是要破除百姓心中的恐惧。他利用黄四郎替身被斩首的契机，成功鼓动民众一举攻陷了黄家碉楼。黄四郎众叛亲离，最终在碉楼自爆而亡。  结局：虽然鹅城重获“公平”，但张麻子的兄弟们在胜利后选择离开，前往象征着新世界的“上海浦东”过轻松的生活。只有张麻子一人，孤独地骑着白马，跟随着远去的火车，留在了这片他曾为之奋斗的土地上。
1292000,搏击俱乐部,1999 / 美国 / 剧情 动作 悬疑 惊悚 / 大卫·芬奇 / 爱德华·诺顿 布拉德·皮特,1999,9.0,4.5,971114,我要带我的女朋友去看炸大楼,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p1910931622.jpg,https://img9.doubanio.com/icon/up2392862-44.jpg,麻木粮姜,63.0,剧情,杰克( 爱德华·诺顿 Edward Norton 饰)是一个充满中年危机意识的人，他非常憎恨自己的生活及一切，再加上他患有严重的失眠症，所以他常常参加各种团体咨询会，只为了能接触人群。在某一个团体咨询会上，杰克遇上了一个跟他同样理由来参加的女烟枪，玛拉(海伦娜·邦汉·卡特 Helena Bonham Carter  饰)，在莫名激素的影响下，杰克和玛拉一起逃离了咨询会，两人的情愫因而滋生…  一个偶然的机会，杰克遇到了卖肥皂的商人泰勒(布拉德·皮特 Brad Pitt 饰)，一个浑身充满叛逆、残酷和暴烈的痞子英雄，并因为自己公寓失火而住进了泰勒破旧不堪的家中。两人因缘际会地成为了好朋友，并创立了“搏击俱乐部”：一个让人们不戴护具而徒手搏击，宗旨在于发泄情绪的地下组织。
1291936,攻壳机动队,1995 / 日本 / 动作 科幻 动画 / 押井守 / 田中敦子 大塚明夫,1995,9.0,4.5,218535,巴特第一次被甩。,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2921045013.jpg,https://img3.doubanio.com/icon/up1360856-37.jpg,伊谢尔伦的风,244.0,动作,公元2029年，未来世界是高科技与信息化的世界。人类生活水平的提高伴随着犯罪活动的高科技化，于是，专门镇压高科技犯罪的特殊部队——公安9课成立了。队长草薙素子，作为一位全身“义体化”的女警，带领公安9课不断展开行动。这次，公安9课帮助公安6课秘密解决了一位程序员外逃他国的麻烦琐事，又卷入传说中的黑客“傀儡师”的犯罪事件。当行动陷入僵局之际，傀儡师竟然不请自来，出现在公安9课！素子与她的战友们，不知不觉地被卷入了一场涉及政府的阴谋之中。
1292515,用心棒,1961 / 日本 / 剧情 动作 惊悚 / 黑泽明 / 三船敏郎 仲代达矢,1961,9.0,4.5,64003,配乐简直无敌,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2163659004.jpg,https://img9.doubanio.com/icon/up1020425-24.jpg,胡子大王,5.0,剧情,无与伦比的三船敏郎在黑泽明这部视觉震撼、充满黑色幽默的影片中担纲主演。为扫清一座被恐怖笼罩的村庄里的腐败势力，足智多谋的浪人武士三十郎巧妙利用两个邪恶家族间的势力争斗，将局势导向对自己有利的方向。本片先后被塞尔吉奥·莱奥内与沃尔特·希尔翻拍，这部酣畅淋漓的类型颠覆之作，至今仍是影史上最具影响力且娱乐性极强的经典之一。[标准收藏公司]
1307031,星际牛仔 天国之门,2001 / 日本 美国 / 剧情 喜剧 动作 科幻 动画 惊悚 犯罪 / 渡边信一郎 / 山寺宏一 石冢运升,2001,9.0,4.5,46430,斯派克最高，他一度是我对男人的标准的实体话~,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p454096953.jpg,https://img9.doubanio.com/icon/up1345979-205.jpg,崇子,8.0,剧情,2071年的万圣节前夕，火星上的大城市突然发生了令人惊叹的犯罪。高速公路上一辆油罐车爆炸了。事故发生现场的人们因不明原因病倒，死伤人数超过400人。这样大规模的杀人事件，似乎是不明来源的生物武器所为。为此，火星政府发布了3亿圆的赏金悬赏恐怖分子。目击事件的faye单独行动妄图独占赏金，艾德使用黑客技术找到线索，与Bebop号上的大家一起行动。四人一狗组合再次出动，但他们不知道，这3亿元的代价，是对抗前所未有的强大犯罪者。
